Date,Hour,HOEP,Market Demand,Ontario Demand
1/1/2018,1,51.29,18974,16627
1/1/2018,2,43.59,18447,16084
1/1/2018,3,93.6,18453,15866
1/1/2018,4,54.78,18662,15725
1/1/2018,5,14.35,18060,15470
1/1/2018,6,18.6,18429,15502
1/1/2018,7,21.72,19137,15750
1/1/2018,8,40.89,19470,15887
1/1/2018,9,20.75,19333,15923
1/1/2018,10,74.57,19816,16381
1/1/2018,11,4.65,19667,16672
1/1/2018,12,9.45,19682,16720
1/1/2018,13,13.65,19621,16839
1/1/2018,14,14.37,19600,16772
1/1/2018,15,26.73,19605,16868
1/1/2018,16,42.12,20561,17314
1/1/2018,17,42.28,21717,18081
1/1/2018,18,44.84,23149,19339
1/1/2018,19,42.22,22944,19249
1/1/2018,20,41.06,22851,18960
1/1/2018,21,43.76,22468,18663
1/1/2018,22,48.38,21678,18074
1/1/2018,23,42.58,20233,17218
1/1/2018,24,38.14,19408,16356
1/2/2018,1,31.12,19138,15809
1/2/2018,2,10.76,18169,15465
1/2/2018,3,14.34,18272,15255
1/2/2018,4,0.29,18064,15236
1/2/2018,5,1.43,18484,15275
1/2/2018,6,14.36,19221,15726
1/2/2018,7,19.1,20418,16874
1/2/2018,8,34.9,21870,17897
1/2/2018,9,43.72,22284,18232
1/2/2018,10,46.03,22603,18739
1/2/2018,11,49.4,23242,19030
1/2/2018,12,66.6,22869,19126
1/2/2018,13,42.14,22442,18984
1/2/2018,14,40.35,21919,18873
1/2/2018,15,34.36,21872,18753
1/2/2018,16,29.98,22010,18883
1/2/2018,17,42.86,22985,19396
1/2/2018,18,42.33,24161,20331
1/2/2018,19,40.37,23960,19890
1/2/2018,20,42.44,23865,19937
1/2/2018,21,42.29,23367,19633
1/2/2018,22,41.64,21823,18816
1/2/2018,23,8.01,20146,17792
1/2/2018,24,29.72,19628,16921
1/3/2018,1,2.31,19030,16277
1/3/2018,2,19.43,18844,15835
1/3/2018,3,0,18504,15606
1/3/2018,4,0,18315,15554
1/3/2018,5,0,18757,15656
1/3/2018,6,0,19379,16088
1/3/2018,7,32.26,20617,17140
1/3/2018,8,66.58,21698,18148
1/3/2018,9,79.95,21990,18464
1/3/2018,10,88.93,22435,18933
1/3/2018,11,84.83,22662,19013
1/3/2018,12,86.87,22274,18830
1/3/2018,13,88.33,22384,18804
1/3/2018,14,64.63,22441,18848
1/3/2018,15,40.84,22577,18860
1/3/2018,16,56.34,22805,19119
1/3/2018,17,82.3,23689,19471
1/3/2018,18,89.3,24490,20380
1/3/2018,19,88.01,24010,20108
1/3/2018,20,81.94,23590,20005
1/3/2018,21,83.84,23295,19754
1/3/2018,22,84.16,22638,19002
1/3/2018,23,76.34,21469,18102
1/3/2018,24,46.04,19829,16963
1/4/2018,1,15.77,18662,16223
1/4/2018,2,4.94,18461,15787
1/4/2018,3,6.47,18096,15467
1/4/2018,4,0.75,17847,15185
1/4/2018,5,0,18191,15412
1/4/2018,6,0.42,19063,15902
1/4/2018,7,23.91,20693,17158
1/4/2018,8,64.7,21939,18198
1/4/2018,9,67.25,22316,18537
1/4/2018,10,66.97,22367,18760
1/4/2018,11,61.74,22378,18699
1/4/2018,12,58.55,22337,18639
1/4/2018,13,51.98,22253,18537
1/4/2018,14,13.35,22152,18546
1/4/2018,15,13.33,21673,18299
1/4/2018,16,13.35,22234,18613
1/4/2018,17,21.1,22757,19028
1/4/2018,18,54.4,23866,19935
1/4/2018,19,56.01,23622,19930
1/4/2018,20,58.91,23677,19980
1/4/2018,21,58.82,23391,19856
1/4/2018,22,60.96,23095,19678
1/4/2018,23,73.71,21847,18889
1/4/2018,24,106.23,20603,17940
1/5/2018,1,18.5,19752,17475
1/5/2018,2,13.33,19217,16808
1/5/2018,3,13.36,19237,16679
1/5/2018,4,13.34,19273,16620
1/5/2018,5,13.45,19194,16706
1/5/2018,6,9.69,19993,17173
1/5/2018,7,68.23,21096,18123
1/5/2018,8,77.02,22149,19177
1/5/2018,9,79.79,22797,19660
1/5/2018,10,77.02,23030,19836
1/5/2018,11,81.64,23281,19789
1/5/2018,12,80.73,23073,19773
1/5/2018,13,70.35,22737,19585
1/5/2018,14,67.87,22802,19503
1/5/2018,15,68.42,22763,19430
1/5/2018,16,75.97,22751,19647
1/5/2018,17,77.9,23057,20022
1/5/2018,18,105.23,24158,20906
1/5/2018,19,112.51,24185,20706
1/5/2018,20,95.42,23571,20429
1/5/2018,21,128.05,23802,20276
1/5/2018,22,77.94,23320,19754
1/5/2018,23,69.07,22111,18914
1/5/2018,24,67.57,21347,18064
1/6/2018,1,42.71,20432,17293
1/6/2018,2,12.21,19959,16937
