FNL_DESCR,DESCR,Block Offer,# Promos,Inc Sales,Inc GM ex SDM,FL_SALES,FL_MARGIN,Base Sales,RBT_SDM_CM,RBT_VEND,RBT_SDM_MPP,CSD,GM%,Sales Lift
CHOC BAR LOW-NO SUGR,ROSS CHOC (DC NATL) (GRP RB92),2/$3.00 OR $1.79,1,1529,-347,6213,1114,4684,0,0,0,-0.23,0.18,0.33
CHOC BAR LOW-NO SUGR,ROSS CHOC (DC NATL) (GRP RB92),2/$3.00 OR $2.29,1,300,-439,4451,853,4150,0,0,0,-1.46,0.19,0.07
CHOC BAR LOW-NO SUGR,ROSS CHOC (DC NATL) (GRP RB92),2/$4.00 OR $2.29,4,1286,-116,5438,1175,4152,0,0,0,-0.09,0.22,0.31
CHOC BAR LOW-NO SUGR,ROSS CHOC MINIS (GRP MZ02),3.49,1,2079,-1184,6442,67,4363,0,0,0,-0.57,0.01,0.48
CHOC BAR LOW-NO SUGR,RS NSA BAR (GRP RL28),2/$3.00 OR $2.29,1,501,-418,1715,37,1214,0,0,0,-0.83,0.02,0.41
CHOC BAR LOW-NO SUGR,RS NSA BAR (GRP RL28),2/$4.00 OR $2.29,1,717,-425,1791,-10,1075,0,0,0,-0.59,-0.01,0.67
CHOC BAR LOW-NO SUGR,RSA NSA CHOCOLATE (GRP RF68),2.99,1,9797,1883,29890,8712,20093,0,0,0,0.19,0.29,0.49
CHOC BAR LOW-NO SUGR,RSA NSA CHOCOLATE (GRP RF68),2/$4.00 OR $2.29,1,9713,-1750,27220,4194,17507,0,0,0,-0.18,0.15,0.55
CHOC BAR LOW-NO SUGR,RSA NSA CHOCOLATE (GRP RF68),2/$5.00 OR $2.99,1,10553,4730,24826,9566,14273,0,4793,0,0.45,0.39,0.74
CHOCOLATE BARS FAMILY,BROOKSIDE CHOCOLATE BARS (GRP FF71),2.99,1,15755,4016,21725,5375,5970,0,4813,0,0.25,0.25,2.64
CHOCOLATE BARS FAMILY,BROOKSIDE CHOCOLATE BARS (GRP FF71),3.29,1,33369,7347,39614,9132,6245,0,4257,0,0.22,0.23,5.34
CHOCOLATE BARS FAMILY,BROOKSIDE CHOCOLATE BARS (GRP FF71),3.49,3,2069,913,13938,3299,11870,0,1273,0,0.44,0.24,0.17
CHOCOLATE BARS FAMILY,BROOKSIDE CHOCOLATE BARS (GRP FF71),3.99,6,3690,1199,11233,3349,7542,277,498,0,0.32,0.3,0.49
CHOCOLATE BARS FAMILY,BROOKSIDE CHOCOLATE BARS (GRP FF71),2/$7.00 OR $3.99,2,5094,1766,15119,4458,10025,437,977,0,0.35,0.29,0.51
CHOCOLATE BARS FAMILY,BROOKSIDE CHOCOLATE BARS (GRP FF71),2/$7.99 OR $4.29,3,-3531,-1747,9341,848,12872,0,611,0,0.49,0.09,-0.27
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),1.99,3,54736,3504,80479,11730,25742,112,12649,0,0.06,0.15,2.13
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),2.49,1,25708,6689,50622,14522,24913,0,6648,0,0.26,0.29,1.03
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),1.79,4,70946,-6162,96974,2264,26028,0,18009,0,-0.09,0.02,2.73
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),1.99,2,84447,-17,112310,9005,27864,0,18360,0,0,0.08,3.03
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),4,1,39367,2480,66102,10711,26736,0,9986,0,0.06,0.16,1.47
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),2/$4.00 OR $2.49,18,54965,1318,88928,11776,28620,658,13330,0,0.02,0.13,1.92
CHOCOLATE BARS FAMILY,CADBURY CARAMILK FAMILY BAR (GRP CE28),2/$5.00 OR $2.99,2,40026,7013,69011,16048,28985,0,2708,0,0.18,0.23,1.38
